user_id,item_id,rating
1100,194,1
1100,810,1
1100,524,1
1100,951,1
1100,77,1
1100,324,1
1100,203,1
1100,153,1
1100,135,1
1100,451,1
1100,575,1
1100,550,1
1100,79,1
1100,165,1
1100,455,1
1100,265,1
1100,196,1
1100,100,1
1100,1401,1
1100,975,1
1100,56,1
1100,321,1
1100,582,1
1100,15,1
1100,69,1
1100,531,1
1100,749,1
1100,122,1
1100,159,1
1100,433,1
1100,509,1
1100,79,1
1100,64,1
1100,272,1
1100,326,1
1100,128,1
1100,9,1
1100,664,1
1100,515,1
1100,472,1
1100,1035,1
1100,70,1
1100,475,1
1100,252,1
1100,3,1
1100,195,1
1100,832,1
1100,23,1
1100,657,1
1100,11,1
1100,472,1
1100,518,1
1100,604,1
1100,432,1
1100,222,1
1100,56,1
1100,476,1
1100,514,1
1100,1009,1
1100,28,1
1100,490,1
1100,461,1
1100,301,1
1100,23,1
1100,118,1
1100,658,1
1100,407,1
1100,95,1
1100,168,1
1100,168,1
1100,868,5
1100,1162,5
1100,927,5
1100,1521,5
1100,1301,5
1100,1191,5
1101,194,1
1101,810,1
1101,524,1
1101,951,1
1101,77,1
1101,324,1
1101,203,1
1101,153,1
1101,135,1
1101,451,1
1101,575,1
1101,550,1
1101,79,1
1101,165,1
1101,455,1
1101,265,1
1101,196,1
1101,100,1
1101,1401,1
1101,975,1
1101,56,1
1101,321,1
1101,582,1
1101,15,1
1101,69,1
1101,531,1
1101,749,1
1101,122,1
1101,159,1
1101,433,1
1101,509,1
1101,79,1
1101,64,1
1101,272,1
1101,326,1
1101,128,1
1101,9,1
1101,664,1
1101,515,1
1101,472,1
1101,1035,1
1101,70,1
1101,475,1
1101,252,1
1101,3,1
1101,195,1
1101,832,1
1101,23,1
1101,657,1
1101,11,1
1101,472,1
1101,518,1
1101,604,1
1101,432,1
1101,222,1
1101,56,1
1101,476,1
1101,514,1
1101,1009,1
1101,28,1
1101,490,1
1101,461,1
1101,301,1
1101,23,1
1101,118,1
1101,658,1
1101,407,1
1101,95,1
1101,168,1
1101,168,1
1101,868,5
1101,1162,5
1101,927,5
1101,1521,5
1101,1301,5
1101,1191,5
1102,194,1
1102,810,1
1102,524,1
1102,951,1
1102,77,1
1102,324,1
1102,203,1
1102,153,1
1102,135,1
1102,451,1
1102,575,1
1102,550,1
1102,79,1
1102,165,1
1102,455,1
1102,265,1
1102,196,1
1102,100,1
1102,1401,1
1102,975,1
1102,56,1
1102,321,1
1102,582,1
1102,15,1
1102,69,1
1102,531,1
1102,749,1
1102,122,1
1102,159,1
1102,433,1
1102,509,1
1102,79,1
1102,64,1
1102,272,1
1102,326,1
1102,128,1
1102,9,1
1102,664,1
1102,515,1
1102,472,1
1102,1035,1
1102,70,1
1102,475,1
1102,252,1
1102,3,1
1102,195,1
1102,832,1
1102,23,1
1102,657,1
1102,11,1
1102,472,1
1102,518,1
1102,604,1
1102,432,1
1102,222,1
1102,56,1
1102,476,1
1102,514,1
1102,1009,1
1102,28,1
1102,490,1
1102,461,1
1102,301,1
1102,23,1
1102,118,1
1102,658,1
1102,407,1
1102,95,1
1102,168,1
1102,168,1
1102,868,5
1102,1162,5
1102,927,5
1102,1521,5
1102,1301,5
1102,1191,5
1103,194,1
1103,810,1
1103,524,1
1103,951,1
1103,77,1
1103,324,1
1103,203,1
1103,153,1
1103,135,1
1103,451,1
1103,575,1
1103,550,1
1103,79,1
1103,165,1
1103,455,1
1103,265,1
1103,196,1
1103,100,1
1103,1401,1
1103,975,1
1103,56,1
1103,321,1
1103,582,1
1103,15,1
1103,69,1
1103,531,1
1103,749,1
1103,122,1
1103,159,1
1103,433,1
1103,509,1
1103,79,1
1103,64,1
1103,272,1
1103,326,1
1103,128,1
1103,9,1
1103,664,1
1103,515,1
1103,472,1
1103,1035,1
1103,70,1
1103,475,1
1103,252,1
1103,3,1
1103,195,1
1103,832,1
1103,23,1
1103,657,1
1103,11,1
1103,472,1
1103,518,1
1103,604,1
1103,432,1
1103,222,1
1103,56,1
1103,476,1
1103,514,1
1103,1009,1
1103,28,1
1103,490,1
1103,461,1
1103,301,1
1103,23,1
1103,118,1
1103,658,1
1103,407,1
1103,95,1
1103,168,1
1103,168,1
1103,868,5
1103,1162,5
1103,927,5
1103,1521,5
1103,1301,5
1103,1191,5
1104,194,1
1104,810,1
1104,524,1
1104,951,1
1104,77,1
1104,324,1
1104,203,1
1104,153,1
1104,135,1
1104,451,1
1104,575,1
1104,550,1
1104,79,1
1104,165,1
1104,455,1
1104,265,1
1104,196,1
1104,100,1
1104,1401,1
1104,975,1
1104,56,1
1104,321,1
1104,582,1
1104,15,1
1104,69,1
1104,531,1
1104,749,1
1104,122,1
1104,159,1
1104,433,1
1104,509,1
1104,79,1
1104,64,1
1104,272,1
1104,326,1
1104,128,1
1104,9,1
1104,664,1
1104,515,1
1104,472,1
1104,1035,1
